航模 波音747 1 100 198 10 1.6 2 20 49.8 43.6 波音747 1 1 1
手机 华为P20 1 2 5 5 5.6 8 7 49.8 27.6 华为P20 4 2 2
航模 波音748 4 150 250 13 1.6 2 15 34.4 30.8 0 0 3 3
航模 空客A320 7 80 120 30 0.8 1 14 34.4 28.8 空客A320 1 4 4
航模 空客A380 9 200 300 15 0.8 1 15 33.4 30.8 0 0 5 5
航模 波音777 2 150 200 12 2.4 3 9 31.2 20.4 波音777 1 6 6
航模 空客A350 8 120 180 20 0 0 12 24 24 0 0 7 7
航模 波音787 5 100 189 20 0 0 11 22 22 0 0 8 8
手机 华为mate30 15 3200 3599 40 0.8 1 1 5.4 2.8 0 0 9 9
航模 波音737 3 80 158 20 0.8 1 1 5.4 2.8 0 0 10 10
航模 空军一号 6 200 300 15 0 0 0 0 0 0 0 11 11
航模 空客A340 10 150 200 15 0 0 0 0 0 0 0 12 12
手机 华为P40 12 5000 6488 30 0 0 0 0 0 0 0 13 13
手机 华为P40Pro+ 13 7000 8888 20 0 0 0 0 0 0 0 14 14
手机 华为P40 14 4000 4488 20 0 0 0 0 0 0 0 15 15
手机 华为mate30pro 16 6000 6369 30 0 0 0 0 0 0 0 16 16
手机 华为P30 17 2800 3100 25 0 0 0 0 0 0 0 17 17
手机 华为P30pro 18 3100 3288 25 0 0 0 0 0 0 0 18 18
手机 华为mate20pro 19 3100 3350 23 0 0 0 0 0 0 0 19 19
